1,0,8,年,0,7,月,1,6,日, ,外,資,及,陸,資,買,賣,超,彙,總,表
,證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數
 ,8404  ,百和興業-KY     ,"147,000","23,000","124,000",0,0,0,"147,000","23,000","124,000"
 ,2889  ,國票金          ,"913,000","792,000","121,000",0,0,0,"913,000","792,000","121,000"
 ,1215  ,卜蜂            ,"330,000","216,000","114,000",0,0,0,"330,000","216,000","114,000"
 ,3504  ,揚明光          ,"223,000","111,000","112,000",0,0,0,"223,000","111,000","112,000"
 ,2351  ,順德            ,"184,000","75,000","109,000",0,0,0,"184,000","75,000","109,000"
 ,2059  ,川湖            ,"288,000","182,000","106,000",0,0,0,"288,000","182,000","106,000"
 ,040089,聯電元富8A購02  ,"105,000",0,"105,000",0,0,0,"105,000",0,"105,000"
 ,040352,健策康和8B購01  ,"105,000",0,"105,000",0,0,0,"105,000",0,"105,000"
 ,042713,智邦國票8C購03  ,"105,000",0,"105,000",0,0,0,"105,000",0,"105,000"
 ,042721,華邦電群益8C購03,"105,000",0,"105,000",0,0,0,"105,000",0,"105,000"
 ,042827,健鼎兆豐91購01  ,"105,000",0,"105,000",0,0,0,"105,000",0,"105,000"
 ,043481,華新群益93購01  ,"105,000",0,"105,000",0,0,0,"105,000",0,"105,000"
 ,043537,智伸科兆豐93購01,"105,000",0,"105,000",0,0,0,"105,000",0,"105,000"
 ,08811P,聯電統一91售02  ,"105,000",0,"105,000",0,0,0,"105,000",0,"105,000"
 ,3047  ,訊舟            ,"113,000","8,000","105,000",0,0,0,"113,000","8,000","105,000"
 ,2206  ,三陽工業        ,"231,000","127,000","104,000",0,0,0,"231,000","127,000","104,000"
 ,4104  ,佳醫            ,"109,000","7,000","102,000",0,0,0,"109,000","7,000","102,000"
 ,037382,矽創群益8C購01  ,"100,000",0,"100,000",0,0,0,"100,000",0,"100,000"
 ,3454  ,晶睿            ,"155,000","58,000","97,000",0,0,0,"155,000","58,000","97,000"
 ,2363  ,矽統            ,"304,000","208,000","96,000",0,0,0,"304,000","208,000","96,000"
 ,043361,揚明光國票91購03,"95,000",0,"95,000",0,0,0,"95,000",0,"95,000"
 ,039105,臻鼎兆豐8A購02  ,"105,000","11,000","94,000",0,0,0,"105,000","11,000","94,000"
 ,2421  ,建準            ,"706,000","612,000","94,000",0,0,0,"706,000","612,000","94,000"
 ,4564  ,元翎            ,"157,000","64,000","93,000",0,0,0,"157,000","64,000","93,000"
 ,5434  ,崇越            ,"205,000","114,000","91,000",0,0,0,"205,000","114,000","91,000"
 ,038848,鴻海中信8C購01  ,"90,000",0,"90,000",0,0,0,"90,000",0,"90,000"
 ,039789,超眾中信8B購01  ,"90,000",0,"90,000",0,0,0,"90,000",0,"90,000"
 ,042125,台光電統一8C購02,"90,000",0,"90,000",0,0,0,"90,000",0,"90,000"
 ,042880,儒鴻統一91購01  ,"90,000",0,"90,000",0,0,0,"90,000",0,"90,000"
 ,2605  ,新興            ,"167,000","79,000","88,000",0,0,0,"167,000","79,000","88,000"
 ,1537  ,廣隆            ,"92,000","5,000","87,000",0,0,0,"92,000","5,000","87,000"
 ,4919  ,新唐            ,"137,000","51,000","86,000",0,0,0,"137,000","51,000","86,000"
 ,5269  ,祥碩            ,"277,000","191,000","86,000",0,0,0,"277,000","191,000","86,000"
 ,042946,揚明光國票91購02,"81,000",0,"81,000",0,0,0,"81,000",0,"81,000"
 ,1460  ,宏遠            ,"82,000","1,000","81,000",0,0,0,"82,000","1,000","81,000"
 ,3346  ,麗清            ,"84,000","3,000","81,000",0,0,0,"84,000","3,000","81,000"
 ,040593,聯電元大8B購04  ,"80,000",0,"80,000",0,0,0,"80,000",0,"80,000"
 ,3413  ,京鼎            ,"99,000","19,000","80,000",0,0,0,"99,000","19,000","80,000"
 ,040540,GIS兆豐8B購02   ,"90,000","11,000","79,000",0,0,0,"90,000","11,000","79,000"
 ,8011  ,台通            ,"80,000","1,000","79,000",0,0,0,"80,000","1,000","79,000"
 ,6443  ,元晶            ,"86,000","8,000","78,000",0,0,0,"86,000","8,000","78,000"
 ,3437  ,榮創            ,"92,000","15,000","77,000",0,0,0,"92,000","15,000","77,000"
 ,2607  ,榮運            ,"191,000","117,000","74,000",0,0,0,"191,000","117,000","74,000"
 ,8249  ,菱光            ,"176,000","104,000","72,000",0,0,0,"176,000","104,000","72,000"
 ,042984,健策凱基91購01  ,"70,000",0,"70,000",0,0,0,"70,000",0,"70,000"
 ,040748,GIS群益8B購07   ,"69,000",0,"69,000",0,0,0,"69,000",0,"69,000"
 ,2420  ,新巨            ,"82,000","13,000","69,000",0,0,0,"82,000","13,000","69,000"
